record_id,state,district,city,market_zone,property_type,furnishing,area_sqft,bedrooms,bathrooms,age_years,floor,benchmark_price_per_sqft,estimated_price_per_sqft,estimated_price,reference_date,source,source_type,source_url,is_synthetic,notes
1,Maharashtra,Palghar,Palghar,Core / Established,Apartment,Unfurnished,550,1,1,12,16,6000,6473.52,3560000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
2,Maharashtra,Palghar,Palghar,Core / Established,Apartment,Semi-Furnished,900,2,2,1,13,6000,7883.6,7100000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
3,Maharashtra,Palghar,Palghar,Core / Established,Apartment,Fully Furnished,1350,3,3,7,18,6000,7825.85,10560000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
4,Maharashtra,Palghar,Palghar,Core / Established,Apartment,Fully Furnished,1800,4,4,7,3,6000,7595.71,13670000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
5,Maharashtra,Palghar,Palghar,Core / Established,Independent House,Semi-Furnished,1100,2,2,3,3,6000,7086.64,7800000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
6,Maharashtra,Palghar,Palghar,Core / Established,Independent House,Fully Furnished,1650,3,3,2,5,6000,7801.07,12870000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
7,Maharashtra,Palghar,Palghar,Core / Established,Independent House,Fully Furnished,2300,4,4,7,4,6000,8337.64,19180000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
8,Maharashtra,Palghar,Palghar,Core / Established,Villa,Semi-Furnished,2200,3,3,1,4,6000,9405.0,20690000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
9,Maharashtra,Palghar,Palghar,Core / Established,Villa,Fully Furnished,3000,4,4,2,2,6000,9877.97,29630000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
10,Maharashtra,Palghar,Palghar,Core / Established,Villa,Fully Furnished,4200,5,5,10,2,6000,9912.45,41630000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
